Activity_Type,Movement_Speed_ms,Crowd_Density,Temperature_C,Pilgrim_Age_Group,Pilgrim_Experience,Time_of_Day,Time_Spent_min,Pilgrim_Group_Size,Phone_Battery_Pct,Risk_Level
Resting,0.195,Medium,42.4,Under_40,First-Time,Fajr,89.4,14,57,Low
Prayer,0.074,High,44.3,Above_60,Experienced,Night,21.2,36,64,High
Sai,1.235,Medium,37.9,Under_40,First-Time,Afternoon,61.8,37,30,Low
Walking,0.771,Medium,41.5,40_to_60,Experienced,Morning,17.1,11,44,Low
Resting,0.065,Medium,45.1,40_to_60,Experienced,Morning,103.7,17,38,Low
Walking,1.148,Low,42.4,Above_60,First-Time,Night,23.6,42,42,Medium
Tawaf,0.557,Low,40.6,40_to_60,Experienced,Night,86.1,15,45,Low
Walking,0.837,Medium,42.9,40_to_60,First-Time,Maghrib,26.9,19,17,Low
Walking,1.197,High,36.5,40_to_60,First-Time,Afternoon,21.7,27,11,Low
Resting,0.115,Low,46.2,40_to_60,First-Time,Night,35.0,23,5,Medium
Tawaf,0.727,Low,33.7,Under_40,First-Time,Afternoon,51.7,12,83,Low
Walking,1.104,Low,41.9,Under_40,First-Time,Afternoon,18.9,28,6,Low
Resting,0.07,High,45.0,40_to_60,Experienced,Maghrib,18.6,6,75,Medium
Prayer,0.009,High,42.3,40_to_60,First-Time,Noon,23.6,42,55,High
Walking,1.183,Medium,40.1,Under_40,Experienced,Maghrib,29.5,34,50,Low
Tawaf,0.513,High,46.4,40_to_60,Experienced,Morning,79.7,48,30,Medium
Prayer,0.0,Medium,39.2,40_to_60,First-Time,Morning,23.8,37,43,Low
Prayer,0.05,High,48.7,40_to_60,First-Time,Maghrib,23.6,23,29,High
Resting,0.186,Low,41.2,40_to_60,Experienced,Afternoon,109.2,35,14,Low
Prayer,0.078,Low,41.0,40_to_60,Experienced,Noon,16.2,28,78,Low
Prayer,0.094,High,44.9,40_to_60,Experienced,Afternoon,18.9,26,78,Medium
Walking,1.141,Medium,40.8,40_to_60,First-Time,Night,21.5,43,42,Low
Sai,1.458,Medium,42.4,40_to_60,Experienced,Night,70.8,33,96,Low
Walking,0.522,Medium,44.3,Above_60,First-Time,Afternoon,26.1,38,98,Medium
Walking,0.998,Medium,37.1,40_to_60,Experienced,Afternoon,14.2,8,39,Low
Resting,0.068,Low,44.5,Under_40,Experienced,Afternoon,58.7,50,56,Low
Walking,0.631,Low,35.2,40_to_60,First-Time,Maghrib,11.2,21,31,Low
Walking,1.06,High,41.9,40_to_60,First-Time,Night,21.0,32,76,Low
Tawaf,0.509,High,40.6,Under_40,First-Time,Morning,53.4,42,56,Low
Resting,0.275,High,36.8,Under_40,Experienced,Afternoon,72.6,8,77,Low
Tawaf,0.321,High,48.8,40_to_60,First-Time,Morning,33.6,20,78,High
Walking,1.062,Medium,42.7,40_to_60,Experienced,Afternoon,22.6,46,64,Low
Sai,0.896,Medium,39.4,40_to_60,First-Time,Morning,69.0,47,25,Low
Resting,0.053,Low,42.6,40_to_60,Experienced,Maghrib,92.9,48,93,Low
Walking,0.834,Low,51.9,Above_60,First-Time,Afternoon,11.3,40,52,High
Walking,0.777,Low,38.0,40_to_60,First-Time,Night,26.4,35,99,Low
Sai,1.14,High,44.6,Above_60,First-Time,Night,84.2,19,70,Medium
Prayer,0.094,High,38.3,Under_40,First-Time,Night,18.7,13,60,Low
Walking,0.96,High,43.9,Above_60,First-Time,Morning,7.4,40,62,Medium
Walking,0.703,Medium,39.4,40_to_60,Experienced,Noon,17.7,8,23,Low
Tawaf,0.386,Medium,41.3,Above_60,Experienced,Afternoon,68.8,23,34,Low
Resting,0.126,Low,42.6,40_to_60,First-Time,Maghrib,77.9,38,85,Low
Resting,0.135,Low,47.3,40_to_60,Experienced,Fajr,109.3,28,33,Low
Prayer,0.06,High,36.1,Above_60,First-Time,Night,28.4,15,8,Medium
Resting,0.08,Low,48.8,Above_60,Experienced,Noon,80.3,39,77,Medium
Walking,1.037,Low,34.3,40_to_60,First-Time,Afternoon,21.1,32,23,Low
Prayer,0.01,High,43.3,Above_60,First-Time,Night,12.6,32,6,High
Prayer,0.056,High,42.2,40_to_60,Experienced,Night,17.9,15,22,Medium
Walking,0.936,Low,41.5,40_to_60,Experienced,Noon,13.3,42,70,Low
Walking,0.645,Medium,42.1,Above_60,First-Time,Afternoon,13.6,38,31,Medium
Prayer,0.083,High,44.1,Under_40,First-Time,Maghrib,24.5,19,56,Medium
Walking,0.931,Medium,43.8,40_to_60,Experienced,Maghrib,17.2,12,19,Low
Walking,0.952,Low,41.3,40_to_60,Experienced,Maghrib,17.6,45,56,Low
Walking,0.848,High,44.8,Above_60,Experienced,Fajr,11.2,41,68,Medium
Tawaf,0.755,High,41.1,Under_40,First-Time,Morning,40.0,45,51,Low
Resting,0.208,Low,42.4,40_to_60,Experienced,Morning,58.0,5,82,Low
Prayer,0.038,High,46.6,40_to_60,First-Time,Morning,11.2,28,5,High
Sai,0.967,Low,46.7,Under_40,Experienced,Fajr,52.2,14,9,Low
Sai,0.85,High,46.2,Under_40,First-Time,Maghrib,81.8,44,39,Medium
Walking,0.616,Medium,37.9,Under_40,Experienced,Noon,15.9,21,61,Low
Resting,0.298,High,43.7,Under_40,Experienced,Maghrib,117.5,18,93,Low
Prayer,0.041,High,43.8,Above_60,First-Time,Night,10.1,5,100,Medium
Walking,1.129,Medium,49.1,Above_60,First-Time,Noon,28.0,15,80,High
Tawaf,0.385,Low,45.2,Above_60,Experienced,Noon,69.1,45,42,Medium
Walking,0.798,Medium,39.5,40_to_60,First-Time,Fajr,20.6,46,97,Low
Resting,0.288,Medium,40.5,40_to_60,Experienced,Morning,103.2,7,24,Low
Walking,0.564,Low,32.0,Above_60,Experienced,Afternoon,20.7,21,52,Low
Sai,1.216,Medium,41.7,Above_60,First-Time,Morning,46.6,15,71,Low
Walking,1.143,Medium,40.5,Under_40,First-Time,Afternoon,27.6,28,49,Low
Sai,1.465,High,39.9,40_to_60,Experienced,Noon,84.3,40,54,Low
Prayer,0.085,Low,38.9,Above_60,Experienced,Night,20.4,37,93,Low
Walking,1.099,High,48.1,40_to_60,First-Time,Noon,8.1,36,79,Medium
Walking,0.957,High,32.0,Above_60,Experienced,Fajr,25.5,29,98,Low
Sai,0.954,High,36.9,40_to_60,First-Time,Noon,68.8,31,100,Low
Resting,0.219,High,51.5,40_to_60,Experienced,Noon,49.3,47,33,Medium
Walking,1.185,High,45.9,40_to_60,First-Time,Noon,29.8,21,76,Medium
Prayer,0.053,Medium,43.2,40_to_60,Experienced,Noon,13.3,21,78,Low
Walking,0.682,Low,42.0,40_to_60,Experienced,Night,9.1,50,84,Low
Walking,0.901,Medium,39.7,40_to_60,First-Time,Afternoon,20.0,44,62,Low
Walking,0.983,Medium,36.9,Under_40,Experienced,Morning,11.7,8,96,Low
Walking,0.646,High,43.5,40_to_60,Experienced,Maghrib,15.3,22,79,Low
Walking,1.003,Medium,45.2,40_to_60,Experienced,Noon,11.0,15,46,Low
Sai,1.211,Low,39.2,40_to_60,First-Time,Morning,80.2,45,64,Low
Walking,0.929,Medium,34.7,Under_40,First-Time,Night,11.9,44,80,Low
Walking,0.714,High,44.7,Above_60,Experienced,Fajr,26.1,16,68,Medium
Tawaf,0.378,High,45.1,40_to_60,Experienced,Maghrib,74.2,47,47,Medium
Walking,0.936,Medium,45.3,Under_40,First-Time,Maghrib,12.4,41,45,Low
Resting,0.176,Medium,41.4,Under_40,First-Time,Noon,98.9,14,66,Low
Resting,0.101,Low,33.4,40_to_60,First-Time,Morning,48.5,19,42,Low
Prayer,0.03,Low,37.1,40_to_60,First-Time,Noon,18.1,15,85,Low
Tawaf,0.474,High,47.1,40_to_60,First-Time,Afternoon,34.7,38,95,High
Walking,0.843,High,36.6,Above_60,First-Time,Night,19.2,46,74,Low
Tawaf,0.787,Low,44.8,40_to_60,Experienced,Fajr,79.0,39,54,Low
Resting,0.229,Medium,37.9,40_to_60,First-Time,Afternoon,80.4,12,40,Low
Sai,1.396,High,37.5,40_to_60,First-Time,Maghrib,69.8,35,33,Low
Sai,1.154,High,49.3,40_to_60,First-Time,Afternoon,85.4,48,12,High
Prayer,0.053,High,49.5,40_to_60,Experienced,Afternoon,18.8,19,43,High
Prayer,0.02,Medium,42.7,Above_60,Experienced,Night,29.9,33,76,Low
Walking,1.005,High,40.1,40_to_60,Experienced,Afternoon,16.5,19,86,Low
Prayer,0.042,High,46.1,Above_60,Experienced,Night,22.9,35,20,High
Sai,1.32,Medium,35.7,Above_60,Experienced,Morning,47.1,11,91,Low
Sai,1.086,Medium,46.8,Under_40,First-Time,Afternoon,76.4,34,44,High
Walking,0.576,Low,50.1,40_to_60,First-Time,Fajr,13.0,29,18,Medium
Tawaf,0.387,Medium,44.3,40_to_60,First-Time,Maghrib,37.7,19,23,Low
Walking,1.068,Low,37.3,40_to_60,First-Time,Maghrib,8.7,17,75,Low
Walking,0.681,High,48.1,40_to_60,First-Time,Afternoon,17.7,14,39,Medium
Walking,0.685,Medium,43.3,Under_40,Experienced,Noon,19.7,23,81,Low
Resting,0.279,Medium,41.4,40_to_60,Experienced,Noon,88.8,19,52,Low
Resting,0.197,Low,38.1,40_to_60,First-Time,Morning,61.8,7,61,Low
Resting,0.034,Low,37.4,40_to_60,Experienced,Noon,105.8,22,94,Low
Sai,0.901,High,46.6,Under_40,First-Time,Noon,48.1,26,74,Medium
Tawaf,0.436,High,41.7,Above_60,Experienced,Afternoon,37.3,41,47,Medium
Prayer,0.059,High,41.7,Above_60,First-Time,Maghrib,14.6,36,57,Medium
Resting,0.226,Low,42.5,40_to_60,First-Time,Afternoon,25.7,35,48,Low
Resting,0.082,Low,34.2,Above_60,First-Time,Afternoon,94.4,14,72,Medium
Resting,0.261,Medium,41.9,40_to_60,Experienced,Night,53.1,45,15,Low
Tawaf,0.355,High,42.0,40_to_60,First-Time,Morning,66.3,49,28,Medium
Resting,0.062,Low,48.0,Above_60,First-Time,Afternoon,95.3,25,98,High
Prayer,0.097,Medium,45.3,40_to_60,Experienced,Fajr,20.9,38,13,Low
Tawaf,0.367,High,37.1,40_to_60,Experienced,Afternoon,62.0,33,66,Medium
Prayer,0.089,Low,40.4,40_to_60,First-Time,Maghrib,19.0,14,74,Low
Tawaf,0.652,Medium,46.2,Above_60,First-Time,Maghrib,71.7,32,81,Medium
Walking,0.551,Medium,36.8,40_to_60,Experienced,Afternoon,18.2,14,76,Low
Prayer,0.048,High,48.8,40_to_60,First-Time,Morning,18.1,36,77,High
Walking,0.863,Medium,41.8,Above_60,Experienced,Fajr,20.4,18,36,Low
Walking,1.152,Medium,44.1,40_to_60,Experienced,Maghrib,29.0,36,99,Low
Resting,0.126,Low,40.2,40_to_60,First-Time,Maghrib,99.9,34,46,Low
Walking,0.813,High,40.2,40_to_60,Experienced,Fajr,16.2,12,60,Low
Prayer,0.011,High,38.3,Under_40,Experienced,Morning,22.2,41,39,Low
Walking,0.947,Medium,48.1,Under_40,Experienced,Maghrib,14.8,23,87,Low
Resting,0.063,Low,44.4,Above_60,First-Time,Night,69.6,26,25,Medium
Tawaf,0.339,High,38.1,Under_40,Experienced,Afternoon,74.0,28,70,Medium
Walking,1.198,Medium,44.8,40_to_60,Experienced,Morning,25.9,32,92,Low
Prayer,0.027,High,45.8,40_to_60,First-Time,Noon,11.2,45,96,High
Tawaf,0.371,High,46.3,Above_60,Experienced,Maghrib,39.9,47,21,High
Walking,0.99,High,43.1,Above_60,First-Time,Afternoon,19.5,9,96,Medium
Resting,0.247,Low,42.7,Above_60,First-Time,Fajr,88.9,13,62,Low
Sai,0.845,High,38.3,Above_60,Experienced,Noon,74.7,12,14,Low
Walking,0.574,Medium,47.3,Under_40,First-Time,Maghrib,11.2,47,81,Medium
Resting,0.027,High,44.7,40_to_60,First-Time,Noon,83.7,22,62,High
Resting,0.014,Medium,46.0,Above_60,First-Time,Noon,63.5,44,100,Medium
Sai,1.262,Medium,34.5,40_to_60,First-Time,Night,56.0,17,56,Low
Resting,0.176,Medium,45.8,Above_60,First-Time,Night,107.9,47,91,Medium
Prayer,0.066,Low,42.1,Under_40,First-Time,Maghrib,20.6,10,30,Low
Walking,0.854,Medium,45.3,40_to_60,Experienced,Morning,26.6,20,41,Low
Tawaf,0.709,High,37.2,Above_60,Experienced,Morning,55.1,22,42,Low
Tawaf,0.573,Low,49.3,40_to_60,First-Time,Noon,68.0,46,18,Medium
Walking,1.143,Low,39.4,Above_60,Experienced,Morning,25.4,21,81,Low
Prayer,0.049,Low,46.6,Under_40,First-Time,Morning,16.6,6,57,Medium
Sai,1.353,Medium,41.2,Under_40,First-Time,Morning,83.6,22,32,Low
Sai,1.085,High,49.4,40_to_60,Experienced,Afternoon,60.8,15,93,Medium
Walking,0.805,Low,43.2,Under_40,First-Time,Afternoon,10.1,6,23,Medium
Tawaf,0.724,High,49.5,40_to_60,First-Time,Noon,74.4,6,59,High
Walking,0.575,High,41.7,40_to_60,First-Time,Morning,13.4,22,81,Low
Tawaf,0.582,High,37.5,40_to_60,Experienced,Afternoon,87.2,45,52,Medium
Sai,1.308,Low,43.2,40_to_60,First-Time,Morning,81.2,26,44,Low
Prayer,0.075,High,41.5,Above_60,First-Time,Morning,14.6,20,51,Medium
Walking,0.914,Medium,39.6,Above_60,Experienced,Noon,29.7,31,61,Low
Prayer,0.045,High,47.0,40_to_60,First-Time,Afternoon,17.3,21,59,High
Prayer,0.026,Medium,36.6,40_to_60,First-Time,Maghrib,21.2,46,39,Low
Resting,0.273,High,49.6,40_to_60,First-Time,Afternoon,22.7,21,71,High
Walking,0.759,Low,41.3,40_to_60,First-Time,Noon,6.0,10,72,Low
Tawaf,0.699,Low,36.6,Under_40,First-Time,Afternoon,47.7,37,48,Low
Prayer,0.003,High,43.6,40_to_60,Experienced,Morning,10.2,17,80,Low
Resting,0.07,Medium,42.7,40_to_60,First-Time,Afternoon,44.2,10,91,Low
Prayer,0.035,High,41.4,40_to_60,First-Time,Afternoon,20.4,30,72,Medium
Tawaf,0.636,High,39.5,Above_60,Experienced,Maghrib,71.5,23,73,Low
Walking,0.724,Low,47.3,40_to_60,First-Time,Fajr,11.3,42,38,Medium
Walking,0.529,Medium,44.2,Under_40,First-Time,Morning,15.2,23,84,Low
Walking,0.622,Medium,40.1,Under_40,Experienced,Fajr,14.6,48,26,Low
Tawaf,0.43,High,43.6,Above_60,Experienced,Afternoon,49.7,30,93,Medium
Tawaf,0.388,High,38.9,40_to_60,First-Time,Afternoon,53.3,26,28,Medium
Walking,0.643,Medium,45.9,40_to_60,Experienced,Fajr,17.2,15,47,Low
Sai,1.338,Medium,50.4,Under_40,Experienced,Afternoon,53.9,26,11,Medium
Walking,0.788,High,46.4,40_to_60,Experienced,Maghrib,16.6,36,15,Medium
Walking,0.784,Medium,39.4,Under_40,Experienced,Morning,11.5,11,40,Low
Prayer,0.097,Low,38.2,40_to_60,First-Time,Noon,11.3,26,36,Low
Resting,0.134,High,42.4,40_to_60,First-Time,Maghrib,37.4,10,8,Medium
Resting,0.278,Medium,35.6,40_to_60,Experienced,Afternoon,113.1,19,88,Low
Walking,0.709,Medium,45.7,Under_40,First-Time,Noon,17.6,42,29,Medium
Tawaf,0.5,High,44.7,Under_40,First-Time,Maghrib,89.0,45,89,Medium
Tawaf,0.498,High,41.4,40_to_60,Experienced,Night,43.5,22,42,Low
Walking,0.882,High,40.8,40_to_60,Experienced,Noon,12.3,39,26,Low
Sai,1.209,High,41.6,Above_60,First-Time,Afternoon,73.8,38,97,Low
Resting,0.074,Low,48.2,40_to_60,First-Time,Fajr,52.3,49,50,Medium
Sai,1.356,Medium,40.4,40_to_60,First-Time,Fajr,61.3,33,95,Low
Walking,0.848,Medium,37.2,40_to_60,First-Time,Afternoon,26.1,47,5,Low
Prayer,0.001,High,38.9,40_to_60,First-Time,Afternoon,10.6,9,32,Medium
Walking,0.914,High,46.0,Above_60,Experienced,Maghrib,21.7,28,25,Low
Tawaf,0.699,High,38.2,Above_60,Experienced,Maghrib,82.8,36,78,Medium
Prayer,0.025,High,46.8,40_to_60,Experienced,Morning,13.5,34,42,Medium
Prayer,0.004,High,41.2,Above_60,First-Time,Afternoon,18.1,9,33,High
Resting,0.242,Low,34.8,Under_40,First-Time,Maghrib,100.0,48,24,Low
Tawaf,0.788,High,45.0,Above_60,Experienced,Morning,62.1,38,75,Medium
Resting,0.023,Medium,40.9,40_to_60,Experienced,Noon,52.6,46,37,Low
Resting,0.281,Medium,43.5,40_to_60,Experienced,Fajr,80.7,22,81,Low
Prayer,0.036,Low,39.5,40_to_60,First-Time,Morning,16.5,40,21,Low
Walking,1.159,High,46.9,40_to_60,Experienced,Afternoon,20.7,25,77,Medium
Tawaf,0.624,Medium,43.8,Under_40,Experienced,Afternoon,38.7,26,20,Low
Resting,0.267,High,50.7,40_to_60,First-Time,Morning,38.7,43,11,Medium
Walking,1.05,Medium,44.8,40_to_60,Experienced,Fajr,5.4,25,44,Low
Prayer,0.003,Low,41.1,40_to_60,Experienced,Morning,13.7,39,65,Low
Prayer,0.007,High,38.5,40_to_60,Experienced,Maghrib,12.6,9,65,Low
Tawaf,0.563,Medium,36.3,Above_60,First-Time,Fajr,65.9,37,73,Low
Resting,0.039,High,41.5,40_to_60,First-Time,Noon,114.2,11,56,Medium
Tawaf,0.531,High,41.6,Above_60,Experienced,Morning,42.9,48,16,Low
Walking,1.168,High,48.4,40_to_60,First-Time,Afternoon,8.2,28,54,Medium
Prayer,0.029,High,40.4,Under_40,Experienced,Afternoon,20.7,43,18,Medium
Resting,0.147,High,46.1,40_to_60,Experienced,Night,34.0,12,48,Medium
Sai,1.069,Medium,41.6,40_to_60,Experienced,Maghrib,69.4,19,31,Low
Walking,0.941,High,49.6,40_to_60,First-Time,Night,17.6,10,53,Medium
Walking,0.636,Medium,35.7,40_to_60,First-Time,Afternoon,5.5,9,58,Low
Walking,0.682,Low,47.4,40_to_60,First-Time,Maghrib,29.1,27,78,Medium
Tawaf,0.729,Low,40.0,40_to_60,First-Time,Night,42.1,24,74,Low
Sai,1.368,High,45.6,Above_60,First-Time,Fajr,85.3,16,88,Medium
Sai,1.352,Low,48.3,40_to_60,First-Time,Night,62.2,46,53,Medium
Walking,1.04,Medium,40.6,Above_60,First-Time,Morning,9.0,48,28,Low
Sai,1.122,Low,37.6,Under_40,First-Time,Maghrib,49.8,25,95,Low
Walking,1.01,Low,37.2,40_to_60,First-Time,Maghrib,17.8,26,73,Low
Sai,1.071,Low,38.6,Above_60,First-Time,Morning,61.3,29,48,Low
Resting,0.03,High,32.3,40_to_60,First-Time,Night,111.3,16,55,Low
Resting,0.118,Medium,41.1,Under_40,Experienced,Night,36.2,6,56,Low
Walking,0.611,High,44.6,40_to_60,First-Time,Afternoon,23.1,34,77,Medium
Prayer,0.039,High,43.0,40_to_60,First-Time,Morning,13.7,11,75,Medium
Sai,1.008,High,40.5,40_to_60,First-Time,Afternoon,84.2,41,12,Low
Tawaf,0.6,High,38.5,Under_40,First-Time,Noon,60.6,22,48,Low
Sai,1.053,Medium,39.7,40_to_60,First-Time,Night,82.4,22,78,Low
Walking,0.994,Medium,43.1,40_to_60,Experienced,Noon,15.9,32,29,Low
Walking,0.859,Medium,45.3,40_to_60,Experienced,Afternoon,9.4,38,43,Low
Resting,0.276,High,36.0,40_to_60,First-Time,Afternoon,71.6,12,37,Medium
Prayer,0.009,High,42.6,Above_60,Experienced,Morning,15.5,23,77,Medium
Walking,0.981,High,43.1,Above_60,Experienced,Afternoon,9.6,10,47,Medium
Walking,0.971,High,38.2,40_to_60,First-Time,Noon,27.6,49,45,Low
Walking,1.165,Low,44.2,Under_40,First-Time,Noon,18.8,11,99,Medium
Sai,1.06,Medium,45.7,40_to_60,First-Time,Night,81.0,24,59,Medium
Prayer,0.031,High,39.7,40_to_60,Experienced,Morning,25.5,28,96,Low
Walking,0.621,Medium,38.5,Above_60,First-Time,Noon,5.0,33,78,Medium
Walking,0.686,Medium,50.6,Under_40,First-Time,Fajr,27.1,32,12,Medium
Resting,0.151,High,45.2,Above_60,Experienced,Morning,96.2,9,67,Medium
Prayer,0.084,Low,42.7,40_to_60,Experienced,Afternoon,15.4,21,59,Low
Tawaf,0.442,High,39.3,40_to_60,First-Time,Fajr,43.8,40,56,Low
Walking,0.61,Low,38.9,Under_40,First-Time,Morning,6.4,37,75,Low
Walking,0.69,Medium,44.3,Under_40,Experienced,Night,7.3,10,38,Low
Sai,0.871,High,38.7,Under_40,Experienced,Afternoon,53.8,42,98,Low
Walking,1.149,High,38.5,40_to_60,First-Time,Fajr,5.1,7,30,Low
Resting,0.262,Medium,41.5,40_to_60,First-Time,Night,48.2,14,63,Low
Resting,0.093,High,44.6,40_to_60,First-Time,Night,111.8,15,36,Medium
Sai,0.973,Medium,49.1,Above_60,Experienced,Morning,70.0,27,35,Medium
Resting,0.272,Low,43.0,40_to_60,First-Time,Night,76.0,50,28,Low
Walking,0.501,Low,38.7,Above_60,First-Time,Afternoon,10.9,8,26,Low
Prayer,0.06,High,40.9,Under_40,First-Time,Night,14.5,11,85,Low
Walking,1.141,Medium,47.2,Under_40,Experienced,Night,14.2,30,99,Low
Resting,0.153,Medium,46.8,Above_60,Experienced,Afternoon,42.5,46,88,Medium
Walking,0.502,Medium,47.0,40_to_60,First-Time,Morning,26.5,37,9,Medium
Prayer,0.022,High,46.1,Above_60,Experienced,Night,13.5,45,85,High
Walking,1.146,High,49.7,Under_40,Experienced,Afternoon,21.9,46,52,Medium
Walking,0.512,Low,42.8,Under_40,First-Time,Noon,17.2,39,12,Medium
Sai,1.076,High,45.0,Above_60,First-Time,Noon,75.5,32,55,High
Resting,0.237,Medium,38.8,40_to_60,Experienced,Noon,102.6,45,43,Low
Walking,1.087,Low,42.9,Above_60,First-Time,Night,13.5,39,37,Medium
Walking,0.834,Medium,43.1,40_to_60,First-Time,Maghrib,18.5,43,35,Low
Tawaf,0.416,Medium,45.2,Under_40,Experienced,Fajr,59.9,20,21,Low
Walking,0.92,Medium,39.5,40_to_60,Experienced,Fajr,14.3,14,18,Low
Tawaf,0.432,Medium,35.7,Above_60,First-Time,Fajr,78.7,11,29,Medium
Tawaf,0.428,Medium,39.7,Above_60,First-Time,Afternoon,30.6,11,88,Low
Walking,1.065,High,46.2,Under_40,Experienced,Maghrib,12.8,29,78,Low
Prayer,0.015,High,41.2,Under_40,First-Time,Afternoon,26.6,9,52,Medium
Walking,0.504,Low,43.9,40_to_60,Experienced,Afternoon,26.8,30,21,Low
Tawaf,0.468,Medium,39.6,Above_60,First-Time,Morning,71.6,34,96,Low
Prayer,0.049,High,46.2,Above_60,First-Time,Noon,16.8,15,95,High
Sai,1.294,Low,41.6,Under_40,First-Time,Morning,82.0,11,83,Low
Resting,0.234,High,41.5,40_to_60,First-Time,Morning,23.8,43,86,Low
Walking,0.964,Medium,47.3,40_to_60,First-Time,Noon,11.6,30,84,Medium
Walking,0.939,High,48.3,40_to_60,First-Time,Fajr,7.3,40,100,Medium
Prayer,0.067,High,47.4,40_to_60,Experienced,Night,12.2,26,75,High
Tawaf,0.436,Medium,40.7,40_to_60,First-Time,Night,65.6,16,53,Low
Resting,0.115,Medium,39.6,40_to_60,First-Time,Maghrib,22.6,26,6,Low
Prayer,0.062,Medium,38.4,40_to_60,First-Time,Afternoon,23.6,6,31,Low
Prayer,0.007,High,36.0,Under_40,First-Time,Maghrib,17.0,44,98,Low
Walking,0.707,High,38.3,Above_60,First-Time,Night,6.4,16,28,Low
Tawaf,0.503,High,38.6,Under_40,First-Time,Morning,47.1,5,89,Low
Walking,0.873,Low,37.0,40_to_60,First-Time,Noon,15.0,19,82,Low
Walking,0.841,Medium,35.9,40_to_60,First-Time,Maghrib,14.2,44,7,Low
Prayer,0.072,High,36.8,Under_40,First-Time,Afternoon,20.2,11,8,Medium
Tawaf,0.537,High,41.8,40_to_60,First-Time,Maghrib,60.2,42,33,Low
Sai,1.433,High,43.8,Above_60,First-Time,Noon,61.2,41,72,Medium
Resting,0.114,High,43.4,Above_60,Experienced,Noon,109.4,50,23,Medium
Walking,0.868,Medium,39.9,40_to_60,Experienced,Afternoon,10.5,26,42,Low
Sai,0.802,Medium,40.6,40_to_60,First-Time,Morning,60.3,37,60,Low
Tawaf,0.455,Medium,43.5,Above_60,First-Time,Fajr,63.2,37,37,Medium
Walking,1.107,Medium,42.8,40_to_60,Experienced,Morning,11.1,33,96,Low
Walking,0.734,Medium,44.2,40_to_60,Experienced,Morning,8.8,47,66,Low
Prayer,0.025,Medium,38.2,40_to_60,First-Time,Fajr,10.1,23,94,Low
Prayer,0.054,High,48.9,40_to_60,Experienced,Maghrib,28.9,9,64,Medium
Sai,0.855,Low,44.5,Under_40,First-Time,Afternoon,80.3,18,96,Medium
Walking,0.872,Low,45.0,40_to_60,First-Time,Afternoon,27.2,13,77,Medium
Resting,0.091,Low,37.8,Under_40,Experienced,Morning,19.2,9,89,Low
Sai,1.068,Medium,37.7,40_to_60,First-Time,Morning,48.3,39,66,Low
Walking,1.054,Medium,39.2,40_to_60,First-Time,Fajr,18.8,25,14,Low
Prayer,0.066,Medium,44.9,40_to_60,First-Time,Night,10.5,50,65,Medium
Prayer,0.045,Low,37.4,Above_60,Experienced,Morning,15.4,47,46,Low
Sai,1.204,Medium,43.8,40_to_60,Experienced,Fajr,88.8,32,75,Low
Resting,0.23,Medium,47.8,Above_60,First-Time,Afternoon,52.5,49,69,High
Walking,1.022,Medium,39.2,40_to_60,Experienced,Noon,29.5,6,72,Low
Walking,0.63,Medium,38.3,Above_60,First-Time,Night,8.0,10,93,Low
Prayer,0.03,Low,39.1,Above_60,Experienced,Maghrib,17.7,35,22,Low
Sai,1.044,High,41.3,40_to_60,Experienced,Night,45.3,36,76,Low
Tawaf,0.394,High,45.8,40_to_60,First-Time,Maghrib,65.5,15,44,High
Walking,0.509,Medium,46.0,40_to_60,First-Time,Morning,13.5,18,76,Medium
Sai,0.922,High,45.2,40_to_60,Experienced,Fajr,67.7,14,31,Low
Walking,1.066,Medium,34.2,Under_40,Experienced,Fajr,24.9,43,54,Low
Prayer,0.055,High,41.3,40_to_60,First-Time,Maghrib,21.0,5,7,Medium
Prayer,0.034,High,38.5,40_to_60,Experienced,Afternoon,23.3,35,8,Medium
Prayer,0.061,High,43.6,Above_60,Experienced,Night,19.4,12,52,Medium
Prayer,0.074,High,45.6,Above_60,First-Time,Afternoon,25.0,6,98,High
Tawaf,0.477,Low,40.0,Under_40,First-Time,Morning,66.2,39,99,Low
Prayer,0.047,Medium,49.7,40_to_60,First-Time,Fajr,27.3,35,7,Medium
Walking,0.545,Medium,38.4,Above_60,Experienced,Noon,23.9,16,91,Low
Walking,0.918,Medium,44.1,Above_60,First-Time,Morning,10.8,35,78,Medium
Prayer,0.036,High,50.6,Above_60,First-Time,Afternoon,20.5,39,91,High
Prayer,0.043,High,45.7,Under_40,First-Time,Fajr,27.5,36,78,Medium
Sai,1.096,Medium,44.4,40_to_60,First-Time,Maghrib,83.7,21,77,Medium
Sai,1.243,Medium,41.3,Under_40,Experienced,Afternoon,66.5,12,45,Low
Tawaf,0.586,High,44.4,Above_60,First-Time,Maghrib,48.8,23,45,High
Resting,0.127,High,39.8,40_to_60,Experienced,Night,37.1,40,89,Low
Sai,0.812,Medium,46.5,40_to_60,First-Time,Afternoon,53.7,15,36,Medium
Sai,1.235,Low,39.1,Above_60,Experienced,Maghrib,51.5,48,12,Low
Prayer,0.088,High,41.0,Under_40,First-Time,Fajr,30.0,9,38,Medium
Tawaf,0.685,High,38.6,40_to_60,First-Time,Night,69.8,32,42,Low
Walking,1.187,Medium,40.6,40_to_60,Experienced,Morning,12.9,6,22,Low
